=== monitor_resources.sh started 2026-09-17T04:13:00Z ===
tracking tmux session 'full_scan', process pattern 'odgi', RSS stop limit 100GB
2026-09-17T04:36:47Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5079M wired, 4230M compressor), 23G unused.
2026-09-17T04:37:18Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 79G used (5065M wired, 4229M compressor), 47G unused.
2026-09-17T04:37:48Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5074M wired, 4229M compressor), 23G unused.
2026-09-17T04:38:20Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5086M wired, 4229M compressor), 23G unused.
2026-09-17T04:38:51Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5085M wired, 4229M compressor), 23G unused.
2026-09-17T04:39:22Z tracked_rss_gb=12 unused_mb=99999 PhysMem: 96G used (5077M wired, 4229M compressor), 31G unused.
2026-09-17T04:39:52Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5078M wired, 4229M compressor), 23G unused.
2026-09-17T04:40:23Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5077M wired, 4229M compressor), 23G unused.
2026-09-17T04:40:54Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5072M wired, 4229M compressor), 23G unused.
2026-09-17T04:41:25Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5079M wired, 4229M compressor), 23G unused.
2026-09-17T04:41:56Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 79G used (5072M wired, 4228M compressor), 47G unused.
2026-09-17T04:42:27Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5080M wired, 4228M compressor), 23G unused.
2026-09-17T04:42:58Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5072M wired, 4228M compressor), 23G unused.
2026-09-17T04:43:29Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4694M wired, 4228M compressor), 23G unused.
2026-09-17T04:44:00Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 85G used (5305M wired, 4228M compressor), 42G unused.
2026-09-17T04:44:31Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5079M wired, 4227M compressor), 23G unused.
2026-09-17T04:45:02Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4683M wired, 4227M compressor), 23G unused.
2026-09-17T04:45:33Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4690M wired, 4227M compressor), 23G unused.
2026-09-17T04:46:04Z tracked_rss_gb=19 unused_mb=99999 PhysMem: 103G used (5074M wired, 4227M compressor), 23G unused.
2026-09-17T04:46:35Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5298M wired, 4227M compressor), 22G unused.
2026-09-17T04:47:06Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4706M wired, 4227M compressor), 22G unused.
2026-09-17T04:47:37Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5085M wired, 4227M compressor), 22G unused.
2026-09-17T04:48:08Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5077M wired, 4226M compressor), 22G unused.
2026-09-17T04:48:39Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5082M wired, 4226M compressor), 22G unused.
2026-09-17T04:49:10Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5091M wired, 4226M compressor), 22G unused.
2026-09-17T04:49:41Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5094M wired, 4226M compressor), 22G unused.
2026-09-17T04:50:12Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5081M wired, 4226M compressor), 22G unused.
2026-09-17T04:50:43Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5083M wired, 4225M compressor), 22G unused.
2026-09-17T04:51:14Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5089M wired, 4225M compressor), 22G unused.
2026-09-17T04:51:45Z tracked_rss_gb=19 unused_mb=99999 PhysMem: 103G used (5078M wired, 4225M compressor), 23G unused.
2026-09-17T04:52:16Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5090M wired, 4225M compressor), 22G unused.
2026-09-17T04:52:47Z tracked_rss_gb=2 unused_mb=99999 PhysMem: 86G used (5077M wired, 4018M compressor), 41G unused.
2026-09-17T04:53:17Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4701M wired, 4018M compressor), 22G unused.
