region_id	window_size	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason
cand_chr21_050	100000	-2.1659755133656193	True	0.98	0.261062656	0.402704	0.734816	2.129959	0	
cand_chr21_093	100000	-0.2355996563784524	True	1.37	0.120782848	3.92952	0.080224	1.057559	0	
cand_chr21_287	100000	0.1093301364751362	True	0.36	0.070877184	0.218256	0.288168	1.095399	0	
cand_chr21_330	100000	0.6297050613164049	True	0.46	0.0827392	0.246616	0.43544	1.106207	0	
